Price,Close,High,Low,Open,Volume
Ticker,ASML.AS,ASML.AS,ASML.AS,ASML.AS,ASML.AS
Date,,,,,
2014-02-18,58.3981819152832,59.17874085705898,58.093140140697805,59.17874085705898,1316331
2014-02-19,58.2008056640625,58.873699180324095,58.07519942196248,58.3712673668972,1207422
2014-02-20,58.01240158081055,58.29950256674442,57.62660898924058,57.92267696112142,1206816
2014-02-21,58.254638671875,58.7301490251687,58.15594706892416,58.5507134807275,1018395
2014-02-24,58.78398513793945,58.78398513793945,58.1738946330359,58.27258624743412,867023
2014-02-25,56.77427673339844,58.514830424873885,56.549978859549654,58.37127649999728,2284722
2014-02-26,56.80119323730469,57.50997189798705,56.621754258677136,56.77427516587655,1595391
2014-02-27,56.35260009765625,56.96269059958307,55.787368486824114,56.63970110767899,1564749
2014-02-28,56.56792068481445,56.962687116341435,56.307734340855994,56.58586492465784,1279623
2014-03-03,55.895015716552734,56.25389359535609,54.809415095816604,55.61688861186759,1901243
2014-03-04,58.12006378173828,58.20081457546776,56.585867151156876,56.657644113354664,2256125
2014-03-05,58.53276443481445,58.88266852971772,58.00342479971411,58.066227923285794,1151624
2014-03-06,59.187713623046875,59.34920833757875,58.14696838605772,58.586597069799694,1152972
2014-03-07,58.86472702026367,59.57350903223851,58.6852914821804,59.42995512575029,1323819
2014-03-10,58.69426345825195,59.205662314802474,58.20977925019973,58.90959433629356,1110812
2014-03-11,58.380252838134766,58.972402536133075,57.949597890042526,58.78398629038585,953848
2014-03-12,58.61351013183594,59.13388273627765,57.57276492295253,57.99444593534403,1522017
2014-03-13,58.2725830078125,58.9454766076488,58.18286523017319,58.846784998737256,1288377
2014-03-14,57.967533111572266,58.14696864182956,57.29463960556735,57.734261446216415,1602710
2014-03-17,58.460994720458984,58.56865330729327,57.96753671404473,58.12005760874473,1005022
2014-03-18,58.855751037597656,58.90061334299144,57.9944481652457,58.353326073315706,1069190
2014-03-19,59.03520584106445,59.510716260215844,58.810907956934315,59.07108747890046,1425626
2014-03-20,60.06696319580078,60.06696319580078,58.559681327245336,58.92753309729257,1780084
2014-03-21,60.273311614990234,61.053870507702776,60.174620024703835,60.32714090240959,2690548
2014-03-24,59.097999572753906,60.614248373630225,59.02622261844469,60.614248373630225,1557775
2014-03-25,59.45687484741211,59.76192350222613,59.0352006124181,59.11594455794006,1387434
2014-03-26,60.59630584716797,60.748826736999646,59.54659358887664,59.84266153824786,1539486
2014-03-27,60.21052932739258,60.560433506717985,59.95034293981212,60.336135604841246,1003630
2014-03-28,60.24639892578125,60.677046929159836,59.85163255182871,60.515552216636216,916310
2014-03-31,60.31819152832031,60.686036508125675,60.18361142545362,60.56043023745766,901086
2014-04-01,60.7398567199707,60.91929911194423,60.48864421623513,60.84752215515482,1090727
2014-04-02,60.578369140625,61.1256565219504,60.30921578843379,60.721923071149504,1037187
